YYYY ,MM ,DD ,SST_MIN ,SST_MAX ,SST@90th_HS ,SSTA@90th_HS ,90th_HS>0 ,DHW_from_90th_HS>1 ,BAA_7day_max
1985,4,15,26.6700,27.7700,27.5000,-0.3100,0.0000,0.0000,0
1985,4,16,27.0600,28.1000,27.5500,-0.0757,0.0000,0.0000,0
1985,4,17,27.1700,28.1400,27.7900,0.0253,0.0000,0.0000,0
1985,4,18,26.6800,27.8500,27.0900,-0.5070,0.0000,0.0000,0
1985,4,19,26.9700,28.3400,27.6000,-0.1267,0.0000,0.0000,0
1985,4,20,26.7300,28.1600,26.9200,-0.6467,0.0000,0.0000,0
1985,4,21,27.1300,28.6400,28.5800,0.6320,0.0000,0.0000,0
1985,4,22,27.6100,29.3000,29.1600,1.1760,0.0000,0.0000,0
1985,4,23,27.8200,29.3000,28.5900,1.1147,0.1600,0.0000,1
1985,4,24,27.7500,29.1900,28.9000,1.2470,0.2300,0.0000,1
1985,4,25,27.7000,29.0400,28.7500,1.1500,0.1000,0.0000,1
1985,4,26,27.6600,28.9900,28.5800,1.0493,0.0400,0.0000,1
1985,4,27,27.7900,28.7300,28.4200,1.0140,0.0000,0.0000,1
1985,4,28,27.5900,28.8100,28.4900,1.1007,0.0000,0.0000,1
1985,4,29,27.6800,29.0300,28.8500,1.3640,0.0700,0.0000,1
1985,4,30,27.4800,28.7900,28.5100,0.9750,0.0000,0.0000,1
1985,5,1,27.3800,28.6200,28.2200,0.8687,0.0000,0.0000,1
1985,5,2,26.8000,28.2500,27.9200,0.5793,0.0000,0.0000,1
1985,5,3,26.7400,28.2400,27.6500,0.4020,0.0000,0.0000,1
1985,5,4,26.8100,28.3400,27.8000,0.4997,0.0000,0.0000,1
1985,5,5,26.9200,28.2600,27.9300,0.6033,0.0000,0.0000,1
1985,5,6,26.9700,28.1400,27.8900,0.5820,0.0000,0.0000,0
1985,5,7,26.9900,28.0200,27.8200,0.5313,0.0000,0.0000,0
1985,5,8,26.9500,27.8900,27.7100,0.4213,0.0000,0.0000,0
